author,count
Moses,40964
"David,Asaph, Ezra, the sons of Korah, Heman, Ethan, Moses",17227
Luke,15104
Ezra,14308
Paul,14231
Jeremiah,10626
"John, the Apostle",9911
Isaiah,9044
Ezekiel,8911
Matthew,7496
"Job,Moses",7490
"Solomon ,Agur(30) and Lemuel(31)",6405
"Samuel, Nathan, Gad",4921
John Mark,4746
Joshua,4606
"Nehemiah, Ezra",2842
Daniel,2499
"Paul, Luke, Barnabas, Apollos",2121
Solomon,1554
 Zechariah,1477
Hosea,1379
Mordecai,1169
Peter,1162
Amos,1022
"James the brother of Jesus and Jude (not the Apostle, brother of John).",756
Micah,735
Joel,511
Habakkuk,392
Malachi,385
Zephaniah,371
Jonah,336
Nahum,329
Haggai,266
"Jude, the brother of Jesus",175
Obadiah,147
