book_name,count
Psalms,17227
Genesis,10731
Jeremiah,9548
Isaiah,9044
Numbers,9016
Ezekiel,8911
Exodus,8491
Luke,8057
Matthew,7496
Job,7490
Acts,7047
Deuteronomy,6713
1 Chronicles,6594
Proverbs,6405
John,6153
Leviticus,6013
2 Chronicles,5754
Mark,4746
Joshua,4606
Judges,4326
1 Corinthians,3059
Romans,3031
Nehemiah,2842
Revelation,2829
Daniel,2499
Hebrews,2121
Ezra,1960
2 Corinthians,1799
Ecclesiastes,1554
Zechariah,1477
Hosea,1379
Esther,1169
Ephesians,1085
Lamentations,1078
Galatians,1043
Amos,1022
1 Timothy,791
James,756
1 John,735
Micah,735
1 Peter,735
Philippians,728
Colossians,665
1 Thessalonians,623
Ruth,595
2 Timothy,581
Joel,511
2 Peter,427
Habakkuk,392
Malachi,385
Zephaniah,371
Jonah,336
2 Thessalonians,329
Nahum,329
Titus,322
Haggai,266
Philemon,175
Jude,175
Obadiah,147
3 John,103
2 John,91
